Poenulus: act 1, scene 1, l. 133	deberi	mihi reddidisti ópiparas opera tua .	quibus pró bene factis fateor deberi tibi	et libertatem et multas grates gratias .
 Poenulus: act 5, scene 4, l. 1233	debemus		Quid in iús vocas nos ? quid tibi debemus ?	
 Poenulus: act 5, scene 6, l. 1350	debetur		De prandio tu dicis . debetur , dabo .	
 Poenulus: act 5, scene 7, l. 1401	debes	Sic est : hodie cenabis toris .	aurum argentum collum , leno , tris res nunc debes simul .	
 Mostellaria: act 3, scene 1, l. 595	debet	venisti huc te extentatum ? agas quod in manu est .	non dat , non debet .	
 Mostellaria: act 3, scene 1, l. 595a	debet		Non debet ?	
 Mostellaria: act 3, scene 1, l. 618	debetur	sic et praesenti tibi facit convicium ?	quid illí debetur ?	
 Mostellaria: act 3, scene 1, l. 622a	debet		Est—huic debet Philolaches	paulum .
 Mostellaria: act 3, scene 1, l. 630	debentur		Quattuor quadraginta illi debentur minae ,	et sors et faenus .
 Mostellaria: act 4, scene 3, l. 919	debentur	Servavisti omnem ratem .	nempe octoginta debentur huic minae ?	
 Mostellaria: act 4, scene 5, l. 1021	debeo		Minas tibi octoginta argenti debeo .	
 Mostellaria: act 4, scene 5, l. 1022	debes		Non mihi quidem hercle . verum , si debes , cedo .	fides servanda est , ne ire infitias postules .
 Mostellaria: act 4, scene 5, l. 1024	debere		Profecto non negabo debere , et dabo ;	tu cave quadraginta accepisse hinc te neges .
 Mostellaria: act 4, scene 5, l. 1026b	debebat	i argenti minas	fil ius , ut ais , debebat ?	
 Trinummus: act 4, scene 2, l. 893	debent		Eloquere , isti tibi quid homines debent , quos tu quaeritas ?	
